id2,id,caseid,ppworka,intlen,age,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppstaten,ppemploy,ppt18ov,ppkid017,cli_disp,xideo,xparty4,co_reg3,weight,duration__in_seconds_,consent,cert,pveh_1_1,pveh_2_2,pveh_3_3,vot,n,choice_set,card,c1,pop,compensation,cost_sharing,livestock,gove,hunt,cost,protest,asc,pop2,poptime,pop2time,popzip,pop2zip,popinc,pop2inc,asc_inc,popage,pop2age,asc_age,popid,pop2id,id_card,ncost,npop,ncompensation,ncost_sharing,nlivestock,ngove,nhunt,_caseid,_panelaltid,npop2
1,-1.7279721,947016,2,1127,69,4,4,2,1,2,1,7,1,1,4,1,84,2,2,0,Completed,4,3,1,1.0008,1127,1,2,1,1.1,2,1,1,1,144,1,600,1,0,23,0,0,50,2.75,1,360000,-137.353,-82411.797,48010200,28806119424,4200,2520000,7,41400,24840000,69,-1036.7833,-622070,1,-0.24590744,1.4516667,0.41024503,-0.70707279,-0.664132,-0.8480801,-0.70707279,1,1,2.1073363
1,-1.7279721,947016,2,1127,69,4,4,2,1,2,1,7,1,1,4,1,84,2,2,0,Completed,4,3,1,1.0008,1127,1,2,1,1.1,2,1,1,2,165,0,600,1,1,180,30,0,10,2.75,1,360000,-137.353,-82411.797,48010200,28806119424,4200,2520000,7,41400,24840000,69,-1036.7833,-622070,2,-0.79026139,1.4516667,0.41024503,1.4141455,1.6665219,0.58179092,-0.70707279,2,1,2.1073363
1,-1.7279721,947016,2,1127,69,4,4,2,1,2,1,7,1,1,4,1,84,2,2,0,Completed,4,3,1,1.0008,1127,1,2,1,1.1,2,1,1,3,186,0,200,0,1,23,50,0,50,2.75,1,40000,-45.784332,-9156.8662,16003400,3200679936,1400,280000,7,13800,2760000,69,-345.59442,-69118.883,3,-0.24590744,-0.30864784,-0.81588852,1.4141455,-0.664132,1.5350382,-0.70707279,3,1,0.095263489
1,-1.7279721,947016,2,1127,69,4,4,2,1,2,1,7,1,1,4,1,84,2,2,0,Completed,4,3,1,1.0008,1127,1,2,1,1.1,2,1,1,4,207,0,600,0,0,90,0,0,200,2.75,1,360000,-137.353,-82411.797,48010200,28806119424,4200,2520000,7,41400,24840000,69,-1036.7833,-622070,4,1.7954199,1.4516667,-0.81588852,-0.70707279,0.33047828,-0.8480801,-0.70707279,4,1,2.1073363
1,-1.7279721,947016,2,1127,69,4,4,2,1,2,1,7,1,1,4,1,84,2,2,0,Completed,4,3,1,1.0008,1127,1,2,1,1.1,2,1,1,5,228,0,200,1,0,180,0,0,150,2.75,1,40000,-45.784332,-9156.8662,16003400,3200679936,1400,280000,7,13800,2760000,69,-345.59442,-69118.883,5,1.1149775,-0.30864784,0.41024503,-0.70707279,1.6665219,-0.8480801,-0.70707279,5,1,0.095263489
1,-1.7279721,947016,2,1127,69,4,4,2,1,2,1,7,1,1,4,1,84,2,2,0,Completed,4,3,1,1.0008,1127,1,2,1,1.1,2,1,1,6,249,0,200,2,0,180,50,0,100,2.75,1,40000,-45.784332,-9156.8662,16003400,3200679936,1400,280000,7,13800,2760000,69,-345.59442,-69118.883,6,0.43453503,-0.30864784,1.6363785,-0.70707279,1.6665219,1.5350382,-0.70707279,6,1,0.095263489
1,-1.7279721,947016,2,1127,69,4,4,2,1,2,1,7,1,1,4,1,84,2,2,0,Completed,4,3,1,1.0008,1127,1,2,1,1.1,2,1,1,7,270,0,400,2,0,23,50,1,150,2.75,1,160000,-91.568665,-36627.465,32006800,12802719744,2800,1120000,7,27600,11040000,69,-691.18884,-276475.53,7,1.1149775,0.57150942,1.6363785,-0.70707279,-0.664132,1.5350382,1.4141455,7,1,0.32662302
1,-1.7279721,947016,2,1127,69,4,4,2,1,2,1,7,1,1,4,1,84,2,2,0,Completed,4,3,1,1.0008,1127,1,2,1,1.1,2,1,1,8,291,0,200,0,1,90,30,1,150,2.75,1,40000,-45.784332,-9156.8662,16003400,3200679936,1400,280000,7,13800,2760000,69,-345.59442,-69118.883,8,1.1149775,-0.30864784,-0.81588852,1.4141455,0.33047828,0.58179092,1.4141455,8,1,0.095263489
1,-1.7279721,947016,2,1127,69,4,4,2,1,2,1,7,1,1,4,1,84,2,2,0,Completed,4,3,1,1.0008,1127,1,2,1,1.1,2,1,2,1,151,0,400,0,1,90,50,1,100,2.75,1,160000,-91.568665,-36627.465,32006800,12802719744,2800,1120000,7,27600,11040000,69,-691.18884,-276475.53,1,0.43453503,0.57150942,-0.81588852,1.4141455,0.33047828,1.5350382,1.4141455,1,2,0.32662302
1,-1.7279721,947016,2,1127,69,4,4,2,1,2,1,7,1,1,4,1,84,2,2,0,Completed,4,3,1,1.0008,1127,1,2,1,1.1,2,1,2,2,172,0,200,2,0,23,0,1,150,2.75,1,40000,-45.784332,-9156.8662,16003400,3200679936,1400,280000,7,13800,2760000,69,-345.59442,-69118.883,2,1.1149775,-0.30864784,1.6363785,-0.70707279,-0.664132,-0.8480801,1.4141455,2,2,0.095263489
